reference	query	refStart	refEnd	queryStart	queryEnd	identity
gi|306408173|gb|CP002121.1|	NODE_68_length_2652_cov_28.2011_ID_260804	903323	905604	2454	174	98.29
gi|306408173|gb|CP002121.1|	NODE_40_length_20015_cov_30.8795_ID_75462	906940	926970	1	20015	98.25
gi|306408173|gb|CP002121.1|	NODE_22_length_31191_cov_30.32_ID_259822	927775	958076	839	31136	98.25
gi|306408173|gb|CP002121.1|	NODE_36_length_21302_cov_30.2718_ID_256594	958069	972565	54	14545	99.57
gi|306408173|gb|CP002121.1|	NODE_21_length_33552_cov_27.3359_ID_261122	980259	981300	33552	32523	97.89
gi|306408173|gb|CP002121.1|	NODE_41_length_19218_cov_27.4576_ID_260624	1015208	1024853	9726	81	99.21
gi|306408173|gb|CP002121.1|	NODE_60_length_6879_cov_26.8529_ID_261066	1024758	1031581	6879	58	99.58
gi|306408173|gb|CP002121.1|	NODE_27_length_25022_cov_32.8522_ID_254316	1031578	1043325	56	11843	98.25
gi|306408173|gb|CP002121.1|	NODE_35_length_21540_cov_28.3624_ID_68452	1056518	1061898	1	5391	99.28
gi|306408173|gb|CP002121.1|	NODE_44_length_16478_cov_21.3781_ID_256616	1089799	1098924	2608	11735	99.56
gi|306408173|gb|CP002121.1|	NODE_23_length_31129_cov_27.0885_ID_86488	1107489	1117356	61	9927	99.95
gi|306408173|gb|CP002121.1|	NODE_39_length_20719_cov_31.8555_ID_256408	1141911	1161104	1605	20719	98.39
gi|306408173|gb|CP002121.1|	NODE_2_length_96722_cov_27.8573_ID_238398	1162538	1173053	279	10792	99.40
gi|306408173|gb|CP002121.1|	NODE_72_length_1232_cov_503.237_ID_260666	1226021	1227251	1	1232	99.68
gi|306408173|gb|CP002121.1|	NODE_1_length_108245_cov_27.0186_ID_260844	1267005	1268442	13805	12368	86.69
gi|306408173|gb|CP002121.1|	NODE_55_length_8121_cov_26.344_ID_257518	1268922	1276386	598	8064	98.41
gi|306408173|gb|CP002121.1|	NODE_50_length_12153_cov_25.8731_ID_53068	1276383	1287843	58	11514	97.44
gi|306408173|gb|CP002121.1|	NODE_31_length_23606_cov_29.1182_ID_260820	1388828	1410931	22159	58	99.20
gi|306408173|gb|CP002121.1|	NODE_54_length_8233_cov_30.3335_ID_255736	1411153	1413496	8057	5714	99.62
gi|306408173|gb|CP002121.1|	NODE_56_length_8018_cov_31.8198_ID_257110	1418915	1423912	59	5057	99.54
gi|306408173|gb|CP002121.1|	NODE_43_length_17406_cov_29.8003_ID_256148	1427896	1445233	17358	1	99.22
gi|306408173|gb|CP002121.1|	NODE_6_length_82466_cov_32.0258_ID_60448	1445890	1447146	82466	81210	99.84
gi|306408173|gb|CP002121.1|	NODE_45_length_15798_cov_30.0759_ID_258124	1521672	1528290	15798	9174	99.41
gi|306408173|gb|CP002121.1|	NODE_47_length_14173_cov_28.5084_ID_261086	1536386	1549127	14173	1400	98.88
gi|306408173|gb|CP002121.1|	NODE_58_length_7344_cov_32.3829_ID_260782	1549132	1556154	7084	61	99.59
gi|306408173|gb|CP002121.1|	NODE_5_length_83634_cov_31.9074_ID_19258	1556137	1571675	56	15570	98.85
gi|306408173|gb|CP002121.1|	NODE_10_length_59706_cov_32.4766_ID_260844	1641274	1655791	1	14519	99.35
gi|306408173|gb|CP002121.1|	NODE_64_length_4563_cov_30.1606_ID_83252	1678081	1681533	61	3508	99.33
gi|306408173|gb|CP002121.1|	NODE_19_length_37582_cov_27.5196_ID_9644	1685916	1696930	3112	14142	99.02
gi|306408173|gb|CP002121.1|	NODE_13_length_51800_cov_32.0476_ID_254760	1722151	1765724	51376	7806	99.11
gi|306408173|gb|CP002121.1|	NODE_42_length_19056_cov_34.4694_ID_24898	1773562	1783675	19002	8890	99.61
gi|306408173|gb|CP002121.1|	NODE_15_length_48600_cov_33.8109_ID_257970	1826458	1833487	48544	41517	98.85
gi|306408173|gb|CP002121.1|	NODE_61_length_6816_cov_35.3069_ID_258528	1891755	1898565	6816	1	99.24
gi|306408173|gb|CP002121.1|	NODE_25_length_28831_cov_35.0413_ID_261052	1898954	1907531	28831	20260	99.06
gi|306408173|gb|CP002121.1|	NODE_38_length_20763_cov_34.0105_ID_259238	1927774	1940346	1560	14126	98.89
gi|306408173|gb|CP002121.1|	NODE_62_length_6707_cov_37.9394_ID_230500	1953837	1960546	6707	1	99.52
gi|306408173|gb|CP002121.1|	NODE_57_length_7703_cov_45.5602_ID_256916	1960910	1968541	7703	50	98.99
gi|306408173|gb|CP002121.1|	NODE_59_length_6891_cov_34.3338_ID_9394	2044511	2051345	1	6834	99.37
gi|306408173|gb|CP002121.1|	NODE_37_length_20904_cov_33.1632_ID_256576	2051342	2070623	20850	1620	99.12
gi|306408173|gb|CP002121.1|	NODE_12_length_53073_cov_36.0932_ID_242026	2070676	2079162	50791	42305	98.79
